                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1273,                0.62533,                 1.1953,                0.89785,                0.74423,                0.83518,                 0.5443,                 1.2229,                0.62649,                 1.2518,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.1313,                0.63052,                 1.1946,                  0.882,                0.74817,                0.83512,                0.54338,                 1.2173,                0.62393,                 1.2473,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.1146,                0.61895,                 1.1848,                 0.8852,                0.74716,                0.83591,                0.54419,                 1.2292,                0.62311,                 1.2571,               0.000614,               0.000614,               0.000614
                     38,                 1.1245,                0.62133,                 1.1896,                0.88981,                0.74592,                  0.835,                0.54205,                 1.2329,                  0.609,                 1.2591,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.1211,                0.62635,                 1.1888,                0.87654,                0.75598,                0.83415,                0.54593,                 1.2175,                0.60198,                 1.2515,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.1063,                0.61408,                 1.1807,                 0.8832,                0.75324,                0.83791,                0.54505,                 1.2251,                0.61239,                 1.2557,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.0867,                0.56227,                 1.1689,                0.87147,                0.74868,                0.82639,                0.54018,                 1.2274,                0.62773,                 1.2588,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.0812,                0.55309,                 1.1668,                0.89042,                0.75606,                0.83298,                0.54118,                   1.22,                0.61049,                  1.249,               0.000416,               0.000416,               0.000416
                     43,                 1.0664,                 0.5453,                 1.1599,                0.88112,                0.75211,                 0.8361,                0.54756,                 1.2103,                0.60765,                 1.2451,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.0672,                0.54651,                 1.1544,                0.89404,                0.74632,                0.83291,                0.54432,                 1.2162,                0.60958,                 1.2485,              0.0003368,              0.0003368,              0.0003368
                     45,                  1.061,                0.54119,                 1.1569,                0.89463,                  0.751,                0.83663,                0.54605,                 1.2141,                0.60951,                 1.2509,              0.0002972,              0.0002972,              0.0002972
                     46,                   1.06,                0.53922,                  1.157,                0.89092,                0.74761,                0.83798,                0.54861,                 1.2048,                0.60551,                 1.2407,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.0579,                0.53412,                 1.1519,                0.91266,                0.73584,                0.83696,                 0.5469,                  1.211,                0.60401,                  1.243,               0.000218,               0.000218,               0.000218
                     48,                 1.0528,                0.52738,                  1.146,                0.90212,                0.74254,                0.83539,                0.54654,                 1.2109,                0.60717,                 1.2465,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.0459,                0.53063,                 1.1442,                0.89665,                0.74423,                0.83442,                0.54705,                 1.2092,                0.60472,                 1.2428,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.0551,                0.53672,                 1.1458,                0.89218,                 0.7493,                0.83624,                 0.5464,                 1.2113,                0.60795,                 1.2439,               9.92e-05,               9.92e-05,               9.92e-05
