                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2649,                0.79303,                 1.3128,                0.87618,                0.72834,                0.79663,                0.50473,                 1.3007,                0.76202,                 1.3368,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.2732,                0.80234,                 1.2895,                0.85869,                0.71879,                0.78776,                 0.4996,                 1.2961,                0.77222,                  1.339,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.2591,                0.79644,                 1.2936,                0.88421,                0.72835,                0.80441,                0.50608,                  1.304,                0.75387,                 1.3485,               0.000614,               0.000614,               0.000614
                     38,                 1.2442,                0.77838,                 1.2957,                0.87975,                0.72835,                0.80268,                 0.5082,                  1.292,                0.75037,                  1.333,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.2423,                0.78375,                 1.2873,                0.88196,                0.72276,                0.80522,                0.50991,                 1.2935,                0.73938,                 1.3313,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.2398,                0.77418,                 1.2914,                0.88607,                0.71541,                0.80126,                0.51194,                 1.2839,                0.74461,                  1.328,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.1995,                0.71498,                 1.2748,                0.87718,                0.72272,                0.79799,                0.50681,                  1.289,                 0.7611,                 1.3292,              0.0004556,              0.0004556,              0.0004556
                     42,                  1.198,                0.70242,                 1.2731,                0.86179,                0.72272,                0.80274,                0.50595,                  1.291,                0.73933,                 1.3332,               0.000416,               0.000416,               0.000416
                     43,                 1.1939,                0.69451,                 1.2692,                0.87948,                 0.7347,                0.81396,                 0.5167,                 1.2775,                0.73418,                 1.3249,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.1813,                0.68373,                 1.2602,                0.89418,                0.72947,                0.80896,                0.51301,                 1.2803,                0.73719,                 1.3217,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.1765,                   0.68,                 1.2518,                0.87809,                0.73228,                0.80906,                0.51763,                  1.275,                0.73233,                 1.3216,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.1787,                0.66748,                   1.26,                0.87288,                0.73761,                0.80987,                0.51517,                 1.2821,                0.73031,                 1.3246,              0.0002576,              0.0002576,              0.0002576
                     47,                   1.16,                0.66582,                 1.2518,                0.88277,                 0.7351,                0.81224,                0.51808,                  1.271,                0.72159,                 1.3193,               0.000218,               0.000218,               0.000218
                     48,                 1.1666,                0.65743,                 1.2599,                0.88676,                0.71935,                0.80761,                0.51643,                 1.2647,                0.72438,                 1.3131,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.1626,                0.66753,                 1.2448,                 0.8794,                0.73003,                0.81132,                0.52199,                 1.2626,                0.72355,                 1.3121,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.1482,                0.64706,                 1.2328,                0.88084,                 0.7359,                0.81368,                0.51939,                 1.2645,                0.71484,                 1.3121,               9.92e-05,               9.92e-05,               9.92e-05
