                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2218,                0.68479,                  1.244,                0.90252,                0.71984,                0.81831,                0.52825,                 1.2635,                0.65891,                  1.283,              0.0006619,              0.0006619,              0.0006619
                      2,                 1.2334,                0.70449,                  1.244,                0.84828,                0.74072,                0.80005,                 0.5034,                 1.2729,                0.69595,                 1.2916,              0.0013023,              0.0013023,              0.0013023
                      3,                 1.2434,                0.71294,                 1.2443,                0.84762,                0.73241,                0.80551,                0.50358,                 1.2895,                 0.7119,                 1.3061,              0.0019162,              0.0019162,              0.0019162
                      4,                 1.2383,                0.72825,                 1.2445,                0.86722,                0.73116,                0.80727,                0.51476,                 1.2863,                0.69969,                 1.3034,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.2408,                0.72589,                 1.2494,                0.86183,                0.71868,                0.79938,                0.50313,                 1.3082,                0.73396,                  1.318,              0.0018812,              0.0018812,              0.0018812
                      6,                  1.247,                0.71093,                  1.253,                0.85149,                0.75116,                0.81013,                0.51673,                 1.2824,                0.68268,                 1.3029,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.2228,                0.71482,                  1.232,                 0.8645,                0.74757,                0.81583,                0.51036,                 1.3046,                0.70086,                 1.2979,               0.001802,               0.001802,               0.001802
                      8,                  1.223,                0.70442,                 1.2369,                0.87126,                0.73608,                0.81121,                0.51583,                 1.2867,                0.68143,                 1.2981,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.2268,                0.70176,                 1.2349,                0.88053,                0.73608,                0.81098,                0.51508,                 1.2808,                0.69233,                 1.2945,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.2082,                0.69286,                 1.2228,                 0.8669,                0.74804,                0.81316,                0.51705,                 1.2861,                0.68383,                 1.2995,              0.0016832,              0.0016832,              0.0016832
                     11,                  1.197,                0.69067,                 1.2142,                0.85916,                0.74652,                0.80931,                0.51754,                 1.2801,                0.69201,                 1.2988,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.2084,                0.69877,                 1.2227,                0.86053,                0.73368,                0.80681,                0.51402,                 1.2726,                0.70234,                 1.2994,               0.001604,               0.001604,               0.001604
                     13,                 1.1916,                 0.6817,                 1.2234,                0.86832,                0.75348,                0.81742,                0.51516,                 1.2897,                0.68037,                 1.3107,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.2088,                0.68662,                 1.2228,                0.85964,                0.74362,                0.80993,                0.52053,                 1.2908,                0.67678,                 1.3043,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.2163,                0.69182,                 1.2302,                0.86069,                0.75638,                0.82098,                0.51798,                 1.2816,                 0.6822,                 1.2982,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.1847,                0.66992,                 1.2181,                0.88766,                0.72872,                0.81841,                0.52236,                 1.2726,                0.68203,                 1.2978,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.1704,                 0.6697,                 1.2092,                 0.8693,                0.75615,                0.82323,                0.52244,                 1.2663,                0.66707,                 1.2915,               0.001406,               0.001406,               0.001406
