                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2571,                  0.714,                 1.2728,                0.91529,                0.76303,                0.84426,                0.53592,                 1.2706,                0.63768,                 1.2634,              0.0006619,              0.0006619,              0.0006619
                      2,                 1.2642,                0.74109,                 1.2664,                0.90571,                0.76955,                0.84534,                0.52836,                 1.2998,                0.67054,                 1.2869,              0.0013023,              0.0013023,              0.0013023
                      3,                 1.2564,                0.75838,                 1.2612,                0.89481,                0.74454,                0.82489,                0.51673,                  1.305,                0.72003,                 1.2974,              0.0019162,              0.0019162,              0.0019162
                      4,                 1.2591,                0.77438,                 1.2692,                0.89585,                0.76078,                0.83631,                0.53094,                 1.2683,                0.66649,                 1.2677,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.2583,                0.76964,                 1.2617,                0.90686,                0.73639,                0.83076,                0.52702,                 1.2723,                0.69265,                 1.2686,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.2441,                0.75212,                 1.2626,                0.91422,                0.74286,                0.83725,                0.53614,                 1.2632,                0.67581,                 1.2575,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.2383,                0.74039,                 1.2531,                0.88078,                0.76155,                 0.8407,                0.52184,                 1.3162,                0.70083,                 1.3058,               0.001802,               0.001802,               0.001802
                      8,                 1.2438,                0.75208,                 1.2607,                0.89537,                0.75854,                0.83727,                0.53224,                 1.2696,                0.68559,                 1.2604,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.2293,                0.73039,                 1.2489,                0.90836,                0.72549,                0.82253,                0.51875,                 1.3094,                 0.7058,                 1.2883,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.2192,                0.73479,                 1.2424,                0.87915,                0.76214,                0.83316,                0.52679,                 1.2894,                 0.6942,                 1.2789,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.2194,                0.72356,                 1.2403,                0.88696,                0.76927,                0.83985,                0.53486,                 1.2812,                0.67854,                 1.2746,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.2196,                0.71949,                 1.2429,                0.91036,                0.73333,                0.83094,                0.52785,                 1.2874,                0.67814,                 1.2908,               0.001604,               0.001604,               0.001604
                     13,                 1.2136,                0.71351,                 1.2344,                0.87377,                0.77561,                0.84426,                0.53333,                 1.2718,                0.67999,                  1.266,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.2091,                0.72093,                 1.2395,                0.89005,                0.74374,                0.83181,                0.52387,                 1.3013,                0.68813,                 1.2922,              0.0015248,              0.0015248,              0.0015248
                     15,                  1.193,                0.70533,                 1.2289,                0.88622,                  0.768,                0.84248,                0.53081,                 1.2862,                0.67585,                 1.2717,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.2014,                0.71022,                 1.2285,                0.89504,                0.76303,                0.84059,                0.53791,                 1.2628,                0.65623,                  1.266,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.2131,                0.70208,                 1.2297,                0.88777,                0.76751,                0.83813,                0.53134,                 1.2886,                0.66461,                  1.272,               0.001406,               0.001406,               0.001406
                     18,                  1.203,                0.69787,                 1.2373,                0.89773,                 0.7619,                0.83859,                 0.5345,                  1.274,                0.67017,                 1.2673,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.1915,                0.69303,                 1.2157,                0.91636,                0.75294,                0.84429,                0.53087,                 1.2714,                0.66173,                 1.2687,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.1917,                0.68741,                 1.2223,                0.89347,                0.77087,                0.84255,                0.54182,                 1.2632,                0.65666,                 1.2621,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.1782,                0.68297,                 1.2268,                0.90837,                0.75574,                0.84446,                0.53488,                   1.27,                0.64993,                 1.2657,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.1707,                0.67608,                 1.2149,                0.89311,                  0.763,                0.83721,                0.53037,                 1.2843,                0.66309,                 1.2696,               0.001208,               0.001208,               0.001208
                     23,                 1.1699,                0.67649,                 1.2126,                0.90467,                0.76555,                0.85106,                0.54009,                 1.2793,                0.64542,                 1.2735,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.1678,                0.66063,                  1.211,                0.89941,                0.77143,                0.84205,                0.53744,                 1.2822,                0.64977,                 1.2793,              0.0011288,              0.0011288,              0.0011288
                     25,                   1.18,                0.67939,                 1.2167,                0.89654,                0.77255,                0.84543,                0.53651,                 1.2681,                0.65545,                 1.2668,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.1596,                0.67036,                  1.213,                 0.8959,                0.77143,                0.84772,                0.53767,                   1.27,                0.64412,                 1.2712,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.1633,                0.66449,                  1.206,                0.90849,                0.76246,                0.84635,                0.53644,                 1.2847,                0.63914,                 1.2698,                0.00101,                0.00101,                0.00101
                     28,                 1.1773,                0.67092,                 1.2163,                0.91257,                0.76598,                 0.8449,                0.53697,                 1.2699,                0.64307,                 1.2646,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.1548,                0.65482,                 1.2005,                0.89739,                0.78095,                0.85029,                 0.5432,                  1.257,                0.63084,                 1.2618,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.1576,                0.65025,                 1.1995,                0.89498,                0.76695,                0.84254,                0.53664,                 1.2564,                0.63533,                 1.2587,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.1525,                0.64435,                 1.1977,                0.88863,                0.78207,                0.85016,                  0.542,                  1.272,                0.63606,                 1.2736,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.1347,                0.63507,                 1.1963,                0.90707,                0.77255,                0.85415,                0.54408,                   1.26,                0.63052,                 1.2623,               0.000812,               0.000812,               0.000812
                     33,                  1.151,                0.63642,                  1.199,                0.90973,                 0.7622,                0.84467,                0.54158,                 1.2574,                0.62531,                 1.2583,              0.0007724,              0.0007724,              0.0007724
                     34,                 1.1143,                0.62466,                  1.181,                0.89966,                0.76919,                0.84646,                 0.5397,                 1.2664,                0.62937,                 1.2665,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.1362,                0.62843,                 1.1987,                0.89883,                0.77031,                0.85131,                0.54185,                 1.2598,                0.63079,                 1.2605,              0.0006932,              0.0006932,              0.0006932
                     36,                  1.128,                0.63601,                 1.1773,                0.88615,                0.76695,                0.83992,                0.53413,                 1.2706,                0.64075,                  1.263,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.1207,                  0.617,                 1.1752,                0.90613,                0.76527,                0.84653,                0.53943,                 1.2671,                0.62917,                 1.2669,               0.000614,               0.000614,               0.000614
                     38,                 1.1292,                0.61898,                 1.1799,                0.90687,                0.76134,                0.84535,                0.53803,                 1.2671,                0.62712,                  1.265,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.1107,                0.60529,                 1.1734,                0.88159,                0.78543,                0.84799,                 0.5413,                 1.2627,                 0.6198,                 1.2628,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.1359,                0.62177,                  1.185,                0.90492,                0.77314,                0.84893,                0.54848,                 1.2445,                0.61602,                   1.25,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.0977,                0.56276,                 1.1676,                0.89907,                0.76975,                0.84057,                0.53719,                 1.2627,                0.63204,                 1.2593,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.0897,                0.55124,                  1.164,                0.90889,                 0.7712,                0.84823,                0.54364,                 1.2536,                0.61427,                 1.2549,               0.000416,               0.000416,               0.000416
                     43,                 1.0856,                0.54448,                 1.1628,                0.90287,                0.77072,                0.84401,                0.54254,                 1.2522,                 0.6212,                 1.2557,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.0812,                0.53841,                 1.1502,                0.89076,                0.78119,                0.84147,                0.54198,                 1.2583,                0.62449,                 1.2588,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.0731,                0.54035,                 1.1547,                0.90236,                0.77658,                0.84834,                0.54418,                  1.249,                 0.6137,                 1.2559,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.0736,                0.53702,                 1.1556,                0.90249,                0.76742,                 0.8438,                0.54041,                  1.257,                0.62367,                 1.2571,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.0667,                0.52836,                 1.1487,                0.90672,                0.76078,                0.84549,                0.54437,                 1.2481,                0.62255,                 1.2539,               0.000218,               0.000218,               0.000218
                     48,                 1.0549,                0.52216,                 1.1459,                 0.9015,                0.76471,                0.84603,                0.54467,                 1.2439,                  0.614,                 1.2499,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.0628,                0.52699,                 1.1568,                0.90997,                0.76022,                0.84389,                0.54394,                 1.2447,                0.61479,                 1.2528,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.0541,                0.51449,                 1.1448,                0.89774,                0.77031,                0.84655,                0.54578,                 1.2403,                0.60999,                 1.2503,               9.92e-05,               9.92e-05,               9.92e-05
