                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3266,                0.86294,                 1.3379,                0.90463,                0.73342,                0.81617,                0.52942,                 1.2679,                0.72197,                 1.3599,              0.0006619,              0.0006619,              0.0006619
                      2,                 1.3611,                0.88235,                 1.3666,                0.89567,                0.71492,                 0.8023,                0.51754,                 1.2808,                0.74891,                 1.3747,              0.0013023,              0.0013023,              0.0013023
                      3,                 1.3765,                 0.9243,                 1.3693,                0.87508,                0.68352,                0.77507,                  0.495,                 1.3316,                0.86716,                  1.403,              0.0019162,              0.0019162,              0.0019162
                      4,                 1.3714,                0.91803,                 1.3537,                 0.8936,                0.70165,                0.80048,                0.51889,                  1.281,                0.77164,                 1.3669,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.3644,                0.92917,                 1.3636,                0.89443,                0.70217,                0.79551,                0.50545,                 1.3052,                0.82132,                 1.3698,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.3627,                0.90438,                 1.3565,                 0.8871,                0.70663,                0.80211,                0.52005,                 1.2769,                0.77117,                 1.3642,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.3621,                0.91698,                 1.3587,                0.91328,                0.69849,                0.79898,                0.51591,                 1.2927,                0.75994,                 1.3681,               0.001802,               0.001802,               0.001802
                      8,                 1.3501,                0.89543,                  1.339,                0.89932,                0.70982,                0.80656,                0.51582,                 1.2904,                0.77882,                  1.357,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.3371,                0.87549,                 1.3404,                0.90634,                0.72205,                0.81418,                0.52228,                 1.2872,                 0.7407,                  1.363,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.3281,                0.87778,                 1.3356,                0.90746,                0.70599,                0.80498,                0.51783,                 1.2857,                0.76376,                 1.3631,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.3155,                0.86544,                 1.3309,                0.92623,                0.70026,                0.80529,                0.51524,                  1.296,                0.77527,                 1.3618,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.3239,                0.87535,                  1.322,                0.91328,                 0.7119,                0.80793,                0.52859,                 1.2693,                0.74472,                 1.3446,               0.001604,               0.001604,               0.001604
                     13,                 1.3094,                0.86017,                 1.3277,                0.88372,                0.73151,                0.80609,                0.52761,                 1.2556,                0.74054,                 1.3318,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.3015,                0.85068,                 1.3237,                 0.9221,                0.70957,                0.81151,                0.53078,                 1.2498,                0.73829,                 1.3359,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.2889,                0.84394,                 1.3035,                0.89747,                0.71939,                 0.8115,                0.52597,                   1.27,                0.73801,                  1.342,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.3049,                0.83725,                  1.324,                0.92049,                0.70882,                0.80466,                0.51763,                 1.2753,                0.74979,                 1.3422,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.3034,                0.84788,                 1.3194,                0.92695,                0.71212,                 0.8126,                0.52735,                 1.2601,                0.73369,                 1.3356,               0.001406,               0.001406,               0.001406
                     18,                 1.2817,                0.82902,                 1.3002,                0.90999,                0.72832,                0.81848,                0.53249,                 1.2569,                0.71086,                 1.3352,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.2814,                0.82435,                 1.3002,                0.89772,                0.73533,                0.81533,                0.53078,                 1.2505,                0.72695,                 1.3371,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.2657,                0.81025,                 1.2894,                0.90949,                0.73087,                0.82263,                0.53669,                 1.2433,                0.70384,                 1.3206,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.2616,                 0.7947,                 1.2926,                0.91136,                0.74097,                0.82376,                 0.5425,                 1.2389,                0.72717,                 1.3289,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.2538,                0.80197,                 1.2861,                0.92148,                0.72194,                 0.8162,                0.53854,                  1.231,                0.71813,                 1.3167,               0.001208,               0.001208,               0.001208
                     23,                 1.2564,                0.81261,                 1.2982,                0.92108,                0.73687,                0.82366,                0.53569,                 1.2487,                0.70525,                   1.33,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.2551,                0.78684,                 1.2798,                0.91745,                0.73342,                0.82465,                0.54192,                 1.2324,                0.68586,                 1.3188,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.2578,                 0.7965,                 1.2921,                0.90874,                0.74305,                0.82803,                0.53964,                  1.235,                0.69014,                 1.3193,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.2357,                0.77922,                 1.2794,                0.88324,                0.75258,                0.82423,                0.53872,                 1.2462,                0.68119,                 1.3289,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.2402,                0.79103,                 1.2817,                0.91028,                0.73406,                 0.8239,                0.53799,                 1.2484,                0.69277,                 1.3335,                0.00101,                0.00101,                0.00101
                     28,                 1.2215,                0.76666,                 1.2732,                0.91607,                0.75179,                0.83436,                0.54273,                 1.2508,                0.67244,                 1.3195,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.2567,                0.76556,                 1.2846,                0.90725,                 0.7398,                0.82171,                 0.5417,                 1.2352,                0.68744,                 1.3169,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.2231,                  0.759,                 1.2521,                0.90185,                0.75005,                0.83357,                0.54656,                  1.222,                0.67582,                 1.3101,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.2149,                0.75096,                 1.2529,                0.91971,                0.74516,                 0.8303,                 0.5445,                 1.2228,                0.67533,                 1.3071,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.2099,                0.75228,                 1.2489,                0.91063,                0.75384,                0.83728,                0.55234,                 1.2165,                0.65648,                 1.3035,               0.000812,               0.000812,               0.000812
                     33,                 1.2196,                0.73702,                 1.2534,                0.91387,                0.74426,                0.82775,                0.54616,                 1.2163,                0.66922,                 1.3043,              0.0007724,              0.0007724,              0.0007724
                     34,                 1.2279,                0.74559,                 1.2692,                0.92294,                0.75319,                0.83245,                0.55026,                 1.2077,                0.65368,                 1.2936,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.1853,                0.71893,                 1.2474,                0.91479,                0.74936,                0.83458,                0.55163,                 1.2126,                0.65801,                  1.301,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.1961,                0.71535,                 1.2451,                0.92162,                0.73487,                0.82887,                0.54717,                 1.2176,                0.65851,                 1.3019,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.1989,                0.74298,                 1.2509,                0.91811,                0.74235,                0.83512,                0.55167,                 1.2115,                0.64946,                 1.2992,               0.000614,               0.000614,               0.000614
                     38,                 1.2054,                0.72479,                 1.2414,                0.91374,                0.75829,                0.83595,                0.55368,                 1.2003,                0.65512,                 1.2904,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.1948,                0.72542,                 1.2273,                0.91543,                   0.75,                0.83852,                0.55165,                  1.212,                 0.6501,                 1.2973,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.1885,                0.72307,                  1.241,                0.92359,                0.74171,                0.83745,                0.55366,                 1.2011,                0.63825,                 1.2933,              0.0004952,              0.0004952,              0.0004952
                     41,                   1.16,                0.65832,                 1.2316,                0.93056,                0.74171,                0.83383,                0.54821,                  1.206,                 0.6491,                 1.2975,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.1377,                0.63148,                 1.2167,                0.90962,                0.75738,                 0.8353,                0.55357,                 1.2056,                0.64331,                 1.2892,               0.000416,               0.000416,               0.000416
                     43,                 1.1321,                0.63887,                 1.2193,                0.91882,                0.75702,                0.83741,                0.55769,                 1.1951,                0.64287,                 1.2887,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.1312,                0.63101,                 1.2133,                0.91676,                0.74681,                0.83597,                0.55623,                 1.2005,                0.64238,                 1.2876,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.1275,                0.62038,                 1.2054,                0.90629,                0.76483,                 0.8376,                 0.5509,                 1.2118,                0.63877,                 1.2937,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.1219,                0.61309,                 1.2016,                0.91674,                0.75957,                0.84105,                 0.5517,                 1.2082,                0.63948,                 1.2949,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.1247,                0.61922,                  1.203,                0.91981,                0.75349,                0.84069,                0.55517,                 1.2042,                0.63478,                 1.2962,               0.000218,               0.000218,               0.000218
                     48,                 1.1178,                0.61652,                 1.1966,                0.91591,                0.75719,                0.84445,                0.55872,                 1.1974,                0.63244,                 1.2891,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.1019,                0.60695,                 1.2014,                0.91523,                0.75746,                0.84072,                0.55763,                 1.1925,                0.62786,                 1.2887,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.1094,                0.59962,                 1.1855,                0.91544,                0.75574,                0.84096,                0.55881,                 1.1927,                0.62364,                 1.2868,               9.92e-05,               9.92e-05,               9.92e-05
