                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2834,                0.74276,                 1.2836,                0.91619,                0.73406,                0.82666,                0.53042,                 1.2468,                0.64687,                 1.2928,              0.0006619,              0.0006619,              0.0006619
                      2,                 1.3398,                0.79756,                 1.2971,                0.88857,                0.74101,                0.81462,                0.50811,                 1.3228,                0.73137,                  1.334,              0.0013023,              0.0013023,              0.0013023
                      3,                 1.3095,                0.80107,                 1.3056,                0.87493,                0.74341,                0.81211,                0.51592,                 1.2703,                 0.7155,                 1.3137,              0.0019162,              0.0019162,              0.0019162
                      4,                 1.3128,                0.81023,                 1.3078,                0.89192,                0.72962,                0.81613,                0.51159,                 1.2922,                0.74099,                 1.3174,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.3109,                0.81382,                 1.3125,                0.88392,                0.72962,                0.80888,                0.51384,                 1.2712,                 0.7363,                 1.3084,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.3046,                0.80294,                  1.307,                0.90411,                 0.7348,                0.81979,                0.51684,                  1.299,                0.71733,                 1.3237,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.2992,                0.79643,                 1.2876,                0.89662,                0.73921,                 0.8219,                  0.522,                 1.2813,                0.69417,                 1.3099,               0.001802,               0.001802,               0.001802
                      8,                  1.302,                0.80809,                 1.2833,                0.86663,                0.74341,                0.80857,                0.51277,                 1.2926,                0.73169,                 1.3118,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.2937,                0.78414,                  1.279,                0.88937,                0.73981,                0.81233,                0.51894,                 1.2713,                0.71607,                 1.3099,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.2715,                0.77118,                 1.2831,                 0.8698,                0.73621,                0.81173,                0.51358,                 1.2684,                0.72092,                 1.2986,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.2897,                0.75914,                 1.2801,                0.86938,                 0.7422,                0.81638,                 0.5212,                 1.2799,                 0.7173,                  1.302,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.2781,                0.77754,                 1.2695,                0.90565,                0.72511,                0.81779,                0.52106,                 1.2661,                0.69761,                 1.3054,               0.001604,               0.001604,               0.001604
                     13,                 1.2589,                0.75105,                 1.2607,                0.90734,                0.72182,                0.81808,                 0.5115,                 1.2958,                0.72402,                 1.3211,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.2463,                0.74533,                  1.269,                0.90373,                0.72422,                0.81332,                 0.5196,                 1.2717,                0.70259,                 1.3091,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.2541,                0.75848,                 1.2698,                0.90226,                0.74159,                0.81999,                0.51881,                 1.2645,                0.70008,                 1.2898,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.2627,                0.75065,                 1.2691,                 0.9002,                0.72602,                0.81066,                0.51413,                 1.2832,                0.70913,                 1.3015,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.2289,                0.72974,                 1.2476,                0.88842,                 0.7446,                0.82611,                0.52768,                   1.26,                0.69372,                 1.2986,               0.001406,               0.001406,               0.001406
                     18,                 1.2436,                0.72578,                 1.2607,                0.89404,                0.74358,                0.82475,                0.52775,                  1.254,                0.67189,                 1.2941,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.2323,                0.71605,                 1.2567,                0.88819,                0.74294,                0.81797,                0.51852,                 1.2726,                0.68711,                 1.2989,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.2438,                0.72663,                 1.2467,                0.88653,                 0.7506,                 0.8154,                0.52666,                 1.2506,                0.67843,                 1.2863,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.2489,                0.74142,                  1.257,                0.88705,                 0.7486,                0.81871,                 0.5238,                 1.2635,                0.68191,                 1.2937,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.2288,                0.71381,                 1.2471,                0.90573,                 0.7373,                0.82017,                0.52823,                 1.2493,                0.66319,                 1.2912,               0.001208,               0.001208,               0.001208
                     23,                 1.2086,                0.70044,                 1.2358,                 0.8972,                0.74298,                0.82731,                0.52233,                 1.2727,                 0.6814,                 1.3085,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.2065,                0.70472,                 1.2279,                0.91188,                0.73561,                0.82214,                0.52123,                 1.2715,                0.68778,                 1.2928,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.2183,                 0.7099,                 1.2327,                0.90095,                0.74711,                0.82767,                 0.5271,                 1.2399,                0.67985,                 1.2819,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.1901,                0.69974,                  1.226,                0.89574,                 0.7524,                0.83035,                0.53105,                 1.2588,                0.65358,                  1.287,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.2022,                0.68119,                 1.2245,                0.89922,                0.75422,                0.83046,                0.52699,                 1.2603,                0.67745,                 1.2919,                0.00101,                0.00101,                0.00101
                     28,                 1.1911,                0.68876,                 1.2331,                0.90675,                 0.7446,                0.82973,                0.52621,                 1.2695,                0.66241,                 1.3012,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.1907,                0.67953,                 1.2263,                0.89622,                 0.7548,                0.82565,                0.52916,                  1.248,                0.66273,                 1.2882,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.1826,                0.68193,                 1.2093,                0.91566,                0.73561,                0.82459,                0.52716,                 1.2627,                 0.6728,                 1.2893,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.1807,                 0.6713,                 1.2044,                0.91177,                 0.7458,                0.83272,                 0.5362,                 1.2501,                0.64316,                 1.2815,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.1899,                0.66871,                 1.2118,                0.89591,                 0.7452,                0.82727,                0.53173,                 1.2583,                0.65319,                 1.2978,               0.000812,               0.000812,               0.000812
                     33,                 1.1724,                0.66819,                 1.2158,                0.90053,                0.75445,                0.83044,                0.53319,                 1.2436,                0.65294,                 1.2819,              0.0007724,              0.0007724,              0.0007724
                     34,                 1.1661,                 0.6564,                 1.2154,                0.91016,                 0.7524,                0.83552,                0.53944,                 1.2372,                0.62989,                 1.2806,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.1633,                0.65329,                 1.2154,                0.88923,                0.75839,                0.83488,                0.53686,                 1.2439,                0.64361,                 1.2843,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.1811,                0.66045,                  1.206,                0.89182,                0.75839,                0.82979,                0.53644,                  1.226,                0.63871,                 1.2761,              0.0006536,              0.0006536,              0.0006536
                     37,                  1.169,                0.65091,                 1.2078,                0.90178,                0.75406,                0.83647,                0.53358,                 1.2523,                0.63549,                 1.2879,               0.000614,               0.000614,               0.000614
                     38,                 1.1578,                0.64063,                 1.1948,                0.91122,                0.74459,                0.83413,                0.53319,                 1.2465,                0.64732,                 1.2805,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.1399,                0.63568,                 1.1929,                0.90256,                0.76075,                0.83596,                0.53777,                 1.2347,                0.63693,                 1.2784,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.1571,                 0.6378,                 1.1942,                0.90215,                0.75169,                0.83328,                0.53566,                 1.2514,                0.63624,                 1.2882,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.1221,                0.58235,                 1.1842,                0.89451,                0.75899,                0.83002,                0.53602,                 1.2396,                0.64417,                 1.2839,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.1107,                0.57228,                 1.1825,                0.89573,                0.76379,                0.83854,                0.53758,                 1.2484,                0.63443,                 1.2797,               0.000416,               0.000416,               0.000416
                     43,                 1.1058,                0.56792,                 1.1723,                0.91295,                  0.753,                0.83509,                0.54191,                 1.2396,                0.62752,                 1.2809,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.1125,                0.56783,                 1.1823,                0.90152,                0.76079,                0.83954,                0.54132,                 1.2367,                0.62915,                 1.2775,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.1057,                0.55891,                 1.1677,                0.89852,                0.76439,                0.83823,                0.54044,                 1.2219,                0.62771,                 1.2714,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.1004,                0.55888,                 1.1736,                0.90376,                0.76259,                0.83899,                0.54304,                 1.2313,                0.62161,                 1.2741,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.0915,                0.54451,                 1.1665,                0.89523,                0.76559,                0.83997,                0.54313,                 1.2273,                0.62139,                 1.2719,               0.000218,               0.000218,               0.000218
                     48,                 1.0903,                0.54501,                 1.1685,                0.89848,                0.76405,                 0.8408,                0.54369,                  1.223,                0.61829,                 1.2715,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.0768,                0.54304,                 1.1609,                0.90245,                0.76541,                0.84207,                0.54183,                 1.2316,                0.62471,                 1.2753,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.0771,                0.53318,                 1.1516,                0.90169,                0.76499,                 0.8418,                0.54445,                 1.2205,                0.61967,                 1.2689,               9.92e-05,               9.92e-05,               9.92e-05
